x,y,z
-9.57223,-11.9263,25.1375
-9.80307,-12.0603,25.6231
-10.0226,-12.1496,26.1335
-10.2273,-12.1902,26.6624
-10.414,-12.1784,27.2024
-10.5791,-12.1121,27.7453
-10.7195,-11.9899,28.2823
-10.8323,-11.8121,28.8043
-10.9147,-11.5802,29.3021
-10.9648,-11.2976,29.7665
-10.9809,-10.9687,30.1893
-10.9621,-10.5996,30.563
-10.9084,-10.1973,30.8813
-10.8202,-9.76974,31.1394
-10.6989,-9.32536,31.334
-10.5463,-8.87269,31.4634
-10.3651,-8.42012,31.5276
-10.1584,-7.97552,31.5281
-9.92976,-7.54604,31.4676
-9.68298,-7.13784,31.3499
-9.42208,-6.75607,31.1796
-9.15113,-6.40471,30.9619
-8.87411,-6.08667,30.7024
-8.59489,-5.80381,30.4066
-8.31706,-5.55707,30.0802
-8.04394,-5.34658,29.7284
-7.77852,-5.17181,29.3564
-7.52341,-5.03171,28.9688
-7.28087,-4.92488,28.5699
-7.05278,-4.84964,28.1635
-6.8407,-4.80421,27.753
-6.64584,-4.78674,27.3415
-6.46915,-4.7954,26.9319
-6.31128,-4.82847,26.5264
-6.1727,-4.88433,26.1273
-6.05367,-4.96152,25.7365
-5.95428,-5.05874,25.356
-5.87453,-5.17486,24.9872
-5.8143,-5.30892,24.6318
-5.77338,-5.46011,24.2913
-5.75155,-5.62775,23.9672
-5.74853,-5.81128,23.6609
-5.764,-6.01024,23.3739
-5.79767,-6.22424,23.1077
-5.84921,-6.45292,22.8638
-5.9183,-6.69592,22.6437
-6.00463,-6.95287,22.4492
-6.10784,-7.22331,22.282
-6.2276,-7.50669,22.1438
-6.36353,-7.80231,22.0366
-6.51521,-8.10927,21.9622
-6.68217,-8.42645,21.9226
-6.86387,-8.75242,21.9198
-7.05965,-9.08543,21.9557
-7.26874,-9.42334,22.0322
-7.49023,-9.7636,22.1511
-7.72302,-10.1032,22.314
-7.96579,-10.4385,22.522
-8.21701,-10.7657,22.776
-8.47488,-11.0802,23.0765
-8.73733,-11.3769,23.4231
-9.00196,-11.6506,23.8149
-9.2661,-11.8954,24.2497
-9.52679,-12.1057,24.7249
-9.78076,-12.2754,25.2361
-10.0245,-12.399,25.7782
-10.2544,-12.4713,26.3448
-10.4666,-12.4877,26.9282
-10.6574,-12.4449,27.5197
-10.8229,-12.3407,28.1097
-10.9598,-12.1744,28.6883
-11.0649,-11.947,29.2448
-11.1354,-11.6612,29.769
-11.1694,-11.3216,30.251
-11.1655,-10.9342,30.6819
-11.1231,-10.5067,31.054
-11.0425,-10.0477,31.3613
-10.9247,-9.56665,31.5994
-10.7716,-9.07322,31.7658
-10.586,-8.57707,31.86
-10.371,-8.08738,31.8832
-10.1306,-7.6125,31.8382
-9.86887,-7.15971,31.7291
-9.59028,-6.73508,31.561
-9.29934,-6.34336,31.3397
